[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:13:02.429 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 256
[11:13:02.444 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 259
[11:13:02.460 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 259
[11:13:02.476 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 259
[11:13:02.492 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 259
[11:13:02.509 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 263
[11:13:02.524 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 263
[11:13:02.540 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 263
[11:13:02.556 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 266
[11:13:02.573 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 266
[11:13:02.588 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 266
[11:13:02.604 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 269
[11:13:02.620 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 269
[11:13:02.636 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 269
[11:13:02.652 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 269
[11:13:02.668 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 273
[11:13:02.684 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 273
[11:13:02.701 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 273
[11:13:02.717 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 276
[11:13:02.733 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 276
[11:13:02.748 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 276
[11:13:02.765 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 276
[11:13:02.780 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 280
[11:13:02.797 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 280
[11:13:02.813 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 280
[11:13:02.829 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 283
[11:13:02.845 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 283
[11:13:02.861 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 283
[11:13:02.877 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 286
[11:13:02.892 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 286
[11:13:02.908 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 286
[11:13:02.924 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 287
[11:13:02.940 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 289
[11:13:02.956 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 289
[11:13:02.973 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 289
[11:13:02.989 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 293
[11:13:03.004 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 293
[11:13:03.021 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 293
[11:13:03.037 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 296
[11:13:03.053 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 296
[11:13:03.068 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 296
[11:13:03.084 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 299
[11:13:03.101 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 299
